Layer,Head,CS_Score,Baseline_Score,CS_Diff
0,0,0.0301,0.0423,-0.0122
0,1,0.0385,0.0361,0.0024
0,2,0.0439,0.0612,-0.0173
0,3,0.0868,0.0999,-0.0130
0,4,0.0473,0.0399,0.0074
0,5,0.0362,0.0318,0.0044
0,6,0.1598,0.2159,-0.0561
0,7,0.0435,0.0463,-0.0028
0,8,0.0370,0.0409,-0.0039
0,9,0.0038,0.0018,0.0020
0,10,0.0763,0.0784,-0.0021
0,11,0.0371,0.0661,-0.0290
1,0,0.0040,0.0062,-0.0023
1,1,0.0196,0.0078,0.0119
1,2,0.6208,0.6303,-0.0095
1,3,0.0362,0.0180,0.0181
1,4,0.0014,0.0032,-0.0017
1,5,0.0265,0.0516,-0.0251
1,6,0.0509,0.0262,0.0247
1,7,0.0225,0.0252,-0.0027
1,8,0.0192,0.0083,0.0109
1,9,0.0177,0.0077,0.0100
1,10,0.0190,0.0188,0.0002
1,11,0.0065,0.0075,-0.0009
2,0,0.0264,0.0247,0.0017
2,1,0.0329,0.0325,0.0004
2,2,0.0040,0.0033,0.0006
2,3,0.0748,0.1444,-0.0696
2,4,0.0105,0.0065,0.0040
2,5,0.0085,0.0075,0.0010
2,6,0.0356,0.0445,-0.0089
2,7,0.0024,0.0022,0.0002
2,8,0.0119,0.0056,0.0063
2,9,0.0111,0.0116,-0.0004
2,10,0.0160,0.0112,0.0048
2,11,0.2135,0.1943,0.0192
3,0,0.0001,0.0002,-0.0001
3,1,0.0020,0.0045,-0.0025
3,2,0.0197,0.0210,-0.0013
3,3,0.1179,0.1363,-0.0183
3,4,0.0499,0.0481,0.0018
3,5,0.0327,0.0329,-0.0002
3,6,0.0321,0.0275,0.0046
3,7,0.0363,0.0413,-0.0050
3,8,0.0066,0.0255,-0.0189
3,9,0.0037,0.0035,0.0001
3,10,0.3658,0.3168,0.0490
3,11,0.0583,0.0316,0.0268
4,0,0.0152,0.0096,0.0056
4,1,0.0109,0.0141,-0.0032
4,2,0.1299,0.0945,0.0353
4,3,0.1365,0.1394,-0.0029
4,4,0.1220,0.1643,-0.0423
4,5,0.0002,0.0001,0.0001
4,6,0.0258,0.0273,-0.0015
4,7,0.0491,0.0726,-0.0234
4,8,0.0051,0.0044,0.0007
4,9,0.0383,0.0567,-0.0184
4,10,0.0108,0.0145,-0.0037
4,11,0.0329,0.0366,-0.0038
5,0,0.0512,0.0475,0.0036
5,1,0.0272,0.0474,-0.0202
5,2,0.0368,0.0588,-0.0220
5,3,0.4602,0.4473,0.0129
5,4,0.0554,0.1014,-0.0460
5,5,0.0466,0.0560,-0.0094
5,6,0.0323,0.0361,-0.0038
5,7,0.1796,0.1560,0.0235
5,8,0.2095,0.2770,-0.0675
5,9,0.0232,0.0249,-0.0016
5,10,0.0000,0.0000,0.0000
5,11,0.0398,0.0355,0.0042
6,0,0.1149,0.1450,-0.0301
6,1,0.1299,0.1047,0.0252
6,2,0.0421,0.0326,0.0094
6,3,0.1679,0.1800,-0.0122
6,4,0.0685,0.0506,0.0179
6,5,0.3846,0.3036,0.0810
6,6,0.0409,0.0392,0.0017
6,7,0.0090,0.0154,-0.0064
6,8,0.1243,0.1920,-0.0676
6,9,0.6092,0.6183,-0.0091
6,10,0.0339,0.0477,-0.0138
6,11,0.2464,0.1777,0.0686
7,0,0.0261,0.0308,-0.0048
7,1,0.0472,0.0563,-0.0091
7,2,0.0470,0.0396,0.0074
