Layer,Head,UUAS
0,0,0.1501
0,1,0.2335
0,2,0.3833
0,3,0.3809
0,4,0.1987
0,5,0.2768
0,6,0.1948
0,7,0.1612
0,8,0.4052
0,9,0.1890
0,10,0.4227
0,11,0.3873
1,0,0.1310
1,1,0.3829
1,2,0.1561
1,3,0.1470
1,4,0.3918
1,5,0.1917
1,6,0.2718
1,7,0.1214
1,8,0.1359
1,9,0.1306
1,10,0.3090
1,11,0.1271
2,0,0.3901
2,1,0.3790
2,2,0.1583
2,3,0.1283
2,4,0.2175
2,5,0.1550
2,6,0.1625
2,7,0.1805
2,8,0.1499
2,9,0.3882
2,10,0.2204
2,11,0.3507
3,0,0.0942
3,1,0.1925
3,2,0.1294
3,3,0.2781
3,4,0.1766
3,5,0.3866
3,6,0.1381
3,7,0.1717
3,8,0.2633
3,9,0.5003
3,10,0.5021
3,11,0.3078
4,0,0.3426
4,1,0.1401
4,2,0.1247
4,3,0.1527
4,4,0.2185
4,5,0.4937
4,6,0.3024
4,7,0.4398
4,8,0.1582
4,9,0.2067
4,10,0.3058
4,11,0.3954
5,0,0.4374
5,1,0.3696
5,2,0.1248
5,3,0.2575
5,4,0.2048
5,5,0.1939
5,6,0.3579
5,7,0.5011
5,8,0.2989
5,9,0.4301
5,10,0.3636
5,11,0.2536
6,0,0.2791
6,1,0.1633
6,2,0.2611
6,3,0.3856
6,4,0.4311
6,5,0.5804
6,6,0.3927
6,7,0.1867
6,8,0.2291
6,9,0.3210
6,10,0.3067
6,11,0.3792
7,0,0.2012
7,1,0.3882
7,2,0.3843
7,3,0.3259
7,4,0.3803
7,5,0.3253
7,6,0.4634
7,7,0.3073
7,8,0.1633
7,9,0.3490
7,10,0.6028
7,11,0.3624
8,0,0.2789
8,1,0.1623
8,2,0.3612
8,3,0.2006
8,4,0.2149
8,5,0.5206
8,6,0.3283
8,7,0.2457
8,8,0.1731
8,9,0.2908
8,10,0.3359
8,11,0.2872
9,0,0.3621
9,1,0.2936
9,2,0.1716
9,3,0.3372
9,4,0.2574
9,5,0.2363
9,6,0.1570
9,7,0.4146
9,8,0.2439
9,9,0.2970
9,10,0.2336
9,11,0.1305
10,0,0.1286
10,1,0.1430
10,2,0.1581
10,3,0.1141
10,4,0.1379
10,5,0.1240
10,6,0.1598
10,7,0.1164
10,8,0.2059
10,9,0.1290
10,10,0.4194
10,11,0.1512
11,0,0.1248
11,1,0.1148
11,2,0.1426
11,3,0.1220
11,4,0.1209
11,5,0.1503
11,6,0.1072
11,7,0.1265
11,8,0.1976
11,9,0.1525
11,10,0.1276
11,11,0.1310
