Layer,Head,UUAS_English,UUAS_Hindi,UUAS_Diff,UUAS_Combined
0,0,0.2899,0.1138,0.1762,0.4037
0,1,0.2942,0.1494,0.1448,0.4435
0,2,0.3189,0.1169,0.2020,0.4358
0,3,0.4693,0.3920,0.0774,0.8613
0,4,0.2921,0.1218,0.1703,0.4139
0,5,0.2878,0.1202,0.1675,0.4080
0,6,0.4707,0.4629,0.0078,0.9336
0,7,0.2747,0.1047,0.1700,0.3794
0,8,0.2914,0.1163,0.1751,0.4077
0,9,0.4472,0.4561,-0.0089,0.9033
0,10,0.2960,0.1045,0.1915,0.4005
0,11,0.3172,0.1138,0.2034,0.4310
1,0,0.2585,0.1624,0.0962,0.4209
1,1,0.2812,0.1298,0.1514,0.4110
1,2,0.4699,0.4785,-0.0085,0.9484
1,3,0.3080,0.3164,-0.0083,0.6244
1,4,0.4749,0.4878,-0.0129,0.9627
1,5,0.2697,0.0942,0.1755,0.3640
1,6,0.2911,0.1147,0.1764,0.4058
1,7,0.3505,0.2265,0.1240,0.5770
1,8,0.2407,0.0817,0.1591,0.3224
1,9,0.2664,0.1271,0.1393,0.3935
1,10,0.2404,0.0839,0.1565,0.3244
1,11,0.2402,0.0853,0.1549,0.3256
2,0,0.2702,0.1066,0.1637,0.3768
2,1,0.2873,0.2283,0.0590,0.5156
2,2,0.4394,0.4518,-0.0123,0.8912
2,3,0.4960,0.5059,-0.0099,1.0019
2,4,0.2704,0.1125,0.1579,0.3830
2,5,0.3732,0.2097,0.1635,0.5829
2,6,0.3586,0.1467,0.2119,0.5053
2,7,0.4763,0.4812,-0.0049,0.9575
2,8,0.2584,0.0710,0.1874,0.3294
2,9,0.2469,0.0948,0.1521,0.3416
2,10,0.2843,0.1153,0.1691,0.3996
2,11,0.5011,0.4563,0.0448,0.9573
3,0,0.2710,0.1263,0.1447,0.3973
3,1,0.4723,0.4911,-0.0189,0.9634
3,2,0.2803,0.1632,0.1171,0.4435
3,3,0.4438,0.4220,0.0217,0.8658
3,4,0.3871,0.2411,0.1460,0.6282
3,5,0.3297,0.2177,0.1120,0.5474
3,6,0.3665,0.1502,0.2164,0.5167
3,7,0.3864,0.3129,0.0735,0.6993
3,8,0.3059,0.1027,0.2033,0.4086
3,9,0.2492,0.0836,0.1656,0.3327
3,10,0.4711,0.4696,0.0015,0.9407
3,11,0.3248,0.1174,0.2073,0.4422
4,0,0.2777,0.1488,0.1288,0.4265
4,1,0.3188,0.1349,0.1839,0.4538
4,2,0.4736,0.4144,0.0592,0.8879
4,3,0.3779,0.3463,0.0316,0.7242
4,4,0.5423,0.4028,0.1395,0.9452
4,5,0.2670,0.0770,0.1900,0.3440
4,6,0.2726,0.1213,0.1513,0.3939
4,7,0.4569,0.3835,0.0735,0.8404
4,8,0.3979,0.1819,0.2160,0.5798
4,9,0.4237,0.2113,0.2124,0.6349
4,10,0.4583,0.3744,0.0840,0.8327
4,11,0.2672,0.0899,0.1772,0.3571
5,0,0.3223,0.1781,0.1442,0.5004
5,1,0.4682,0.4687,-0.0005,0.9370
5,2,0.3395,0.1586,0.1809,0.4981
5,3,0.4708,0.4741,-0.0034,0.9449
5,4,0.4667,0.4614,0.0053,0.9282
5,5,0.3549,0.1690,0.1858,0.5239
5,6,0.4214,0.2170,0.2044,0.6384
5,7,0.3652,0.3494,0.0158,0.7145
