layer,head,importance
0,0,-0.009000
0,1,-0.004000
0,2,-0.007000
0,3,-0.002000
0,4,-0.010000
0,5,-0.008000
0,6,-0.005000
0,7,-0.014000
0,8,-0.002000
0,9,-0.012000
0,10,-0.005000
0,11,-0.008000
1,0,-0.009000
1,1,-0.011000
1,2,-0.005000
1,3,-0.003000
1,4,-0.007000
1,5,-0.005000
1,6,-0.011000
1,7,-0.010000
1,8,-0.012000
1,9,-0.006000
1,10,-0.009000
1,11,-0.004000
2,0,-0.007000
2,1,-0.009000
2,2,-0.004000
2,3,-0.004000
2,4,0.001000
2,5,-0.007000
2,6,-0.009000
2,7,-0.005000
2,8,-0.007000
2,9,-0.006000
2,10,-0.009000
2,11,-0.007000
3,0,0.000000
3,1,-0.012000
3,2,-0.003000
3,3,-0.009000
3,4,0.001000
3,5,-0.008000
3,6,-0.002000
3,7,-0.007000
3,8,-0.008000
3,9,-0.014000
3,10,-0.005000
3,11,-0.008000
4,0,-0.003000
4,1,-0.003000
4,2,-0.002000
4,3,-0.007000
4,4,-0.013000
4,5,-0.012000
4,6,0.002000
4,7,-0.008000
4,8,-0.003000
4,9,-0.010000
4,10,-0.009000
4,11,-0.009000
5,0,-0.006000
5,1,-0.007000
5,2,-0.007000
5,3,-0.012000
5,4,-0.003000
5,5,0.000000
5,6,-0.006000
5,7,-0.012000
5,8,-0.004000
5,9,-0.013000
5,10,-0.014000
5,11,-0.017000
6,0,-0.002000
6,1,-0.010000
6,2,-0.007000
6,3,-0.006000
6,4,-0.007000
6,5,0.007000
6,6,-0.009000
6,7,-0.010000
6,8,-0.008000
6,9,-0.006000
6,10,-0.010000
6,11,-0.012000
7,0,-0.002000
7,1,-0.005000
7,2,-0.001000
7,3,-0.003000
7,4,-0.006000
7,5,-0.012000
7,6,-0.005000
7,7,-0.003000
7,8,-0.005000
7,9,-0.002000
7,10,-0.006000
7,11,0.000000
8,0,-0.003000
8,1,-0.006000
8,2,-0.001000
8,3,0.002000
8,4,-0.007000
8,5,0.002000
8,6,-0.004000
8,7,-0.007000
8,8,-0.010000
8,9,-0.009000
8,10,-0.006000
8,11,-0.004000
9,0,-0.007000
9,1,0.000000
9,2,-0.007000
9,3,-0.005000
9,4,-0.001000
9,5,0.002000
9,6,0.002000
9,7,-0.001000
9,8,0.002000
9,9,-0.008000
9,10,0.002000
9,11,-0.001000
10,0,-0.005000
10,1,-0.003000
10,2,-0.004000
10,3,-0.003000
10,4,-0.004000
10,5,-0.002000
10,6,-0.004000
10,7,-0.002000
10,8,-0.008000
10,9,-0.003000
10,10,0.002000
10,11,0.003000
11,0,0.000000
11,1,0.002000
11,2,-0.003000
11,3,0.000000
11,4,-0.003000
11,5,-0.003000
11,6,-0.002000
11,7,-0.002000
11,8,0.000000
11,9,-0.009000
11,10,-0.006000
11,11,0.002000
